temperature_celsius, year, month, country, ISO3
24.683, 1913, Oct, Philippines, PHL
24.626, 1913, Nov, Philippines, PHL
24.4822, 1913, Dec, Philippines, PHL
23.6331, 1914, Jan, Philippines, PHL
23.5841, 1914, Feb, Philippines, PHL
25.3871, 1914, Mar, Philippines, PHL
26.3062, 1914, Apr, Philippines, PHL
26.6857, 1914, May, Philippines, PHL
25.7494, 1914, Jun, Philippines, PHL
25.4859, 1914, Jul, Philippines, PHL
25.4033, 1914, Aug, Philippines, PHL
24.8556, 1914, Sep, Philippines, PHL
25.252, 1914, Oct, Philippines, PHL
25.3769, 1914, Nov, Philippines, PHL
25.1608, 1914, Dec, Philippines, PHL
24.6491, 1915, Jan, Philippines, PHL
24.8762, 1915, Feb, Philippines, PHL
25.5281, 1915, Mar, Philippines, PHL
26.8249, 1915, Apr, Philippines, PHL
26.7184, 1915, May, Philippines, PHL
26.678, 1915, Jun, Philippines, PHL
26.0621, 1915, Jul, Philippines, PHL
25.7888, 1915, Aug, Philippines, PHL
25.4585, 1915, Sep, Philippines, PHL
25.5943, 1915, Oct, Philippines, PHL
25.4844, 1915, Nov, Philippines, PHL
24.7305, 1915, Dec, Philippines, PHL
24.4066, 1916, Jan, Philippines, PHL
24.3561, 1916, Feb, Philippines, PHL
24.8052, 1916, Mar, Philippines, PHL
25.6457, 1916, Apr, Philippines, PHL
25.6486, 1916, May, Philippines, PHL
25.37, 1916, Jun, Philippines, PHL
25.5651, 1916, Jul, Philippines, PHL
25.6268, 1916, Aug, Philippines, PHL
24.8148, 1916, Sep, Philippines, PHL
24.9694, 1916, Oct, Philippines, PHL
24.5374, 1916, Nov, Philippines, PHL
24.5023, 1916, Dec, Philippines, PHL
23.8571, 1917, Jan, Philippines, PHL
23.4267, 1917, Feb, Philippines, PHL
24.6309, 1917, Mar, Philippines, PHL
25.9807, 1917, Apr, Philippines, PHL
25.6491, 1917, May, Philippines, PHL
25.6321, 1917, Jun, Philippines, PHL
24.8155, 1917, Jul, Philippines, PHL
25.3186, 1917, Aug, Philippines, PHL
24.9447, 1917, Sep, Philippines, PHL
24.9011, 1917, Oct, Philippines, PHL
24.4081, 1917, Nov, Philippines, PHL
24.0313, 1917, Dec, Philippines, PHL
22.5268, 1918, Jan, Philippines, PHL
22.9254, 1918, Feb, Philippines, PHL
23.9397, 1918, Mar, Philippines, PHL
25.2354, 1918, Apr, Philippines, PHL
26.2514, 1918, May, Philippines, PHL
25.3638, 1918, Jun, Philippines, PHL
25.3636, 1918, Jul, Philippines, PHL
24.7516, 1918, Aug, Philippines, PHL
25.2922, 1918, Sep, Philippines, PHL
25.0803, 1918, Oct, Philippines, PHL
24.8066, 1918, Nov, Philippines, PHL
24.1078, 1918, Dec, Philippines, PHL
24.4207, 1919, Jan, Philippines, PHL
24.5676, 1919, Feb, Philippines, PHL
25.5554, 1919, Mar, Philippines, PHL
26.7942, 1919, Apr, Philippines, PHL
26.8169, 1919, May, Philippines, PHL
26.0946, 1919, Jun, Philippines, PHL
25.1641, 1919, Jul, Philippines, PHL
25.1304, 1919, Aug, Philippines, PHL
24.937, 1919, Sep, Philippines, PHL
25.0228, 1919, Oct, Philippines, PHL
24.587, 1919, Nov, Philippines, PHL
24.3676, 1919, Dec, Philippines, PHL
23.9233, 1920, Jan, Philippines, PHL
24.5325, 1920, Feb, Philippines, PHL
25.284, 1920, Mar, Philippines, PHL
26.2229, 1920, Apr, Philippines, PHL
26.2523, 1920, May, Philippines, PHL
26.0741, 1920, Jun, Philippines, PHL
25.447, 1920, Jul, Philippines, PHL
25.5959, 1920, Aug, Philippines, PHL
25.2376, 1920, Sep, Philippines, PHL
24.9345, 1920, Oct, Philippines, PHL
24.919, 1920, Nov, Philippines, PHL
24.2678, 1920, Dec, Philippines, PHL
24.1146, 1921, Jan, Philippines, PHL
24.1032, 1921, Feb, Philippines, PHL
25.0977, 1921, Mar, Philippines, PHL
25.719, 1921, Apr, Philippines, PHL
26.248, 1921, May, Philippines, PHL
25.5014, 1921, Jun, Philippines, PHL
25.3243, 1921, Jul, Philippines, PHL
25.1696, 1921, Aug, Philippines, PHL
24.9323, 1921, Sep, Philippines, PHL
24.9936, 1921, Oct, Philippines, PHL
24.6047, 1921, Nov, Philippines, PHL
24.0878, 1921, Dec, Philippines, PHL
24.4245, 1922, Jan, Philippines, PHL
24.3753, 1922, Feb, Philippines, PHL
25.0773, 1922, Mar, Philippines, PHL
26.4169, 1922, Apr, Philippines, PHL
26.4134, 1922, May, Philippines, PHL
26.1605, 1922, Jun, Philippines, PHL
25.1335, 1922, Jul, Philippines, PHL
25.3447, 1922, Aug, Philippines, PHL
25.1431, 1922, Sep, Philippines, PHL
25.2243, 1922, Oct, Philippines, PHL
24.8114, 1922, Nov, Philippines, PHL
24.4733, 1922, Dec, Philippines, PHL
23.9079, 1923, Jan, Philippines, PHL
24.0713, 1923, Feb, Philippines, PHL
24.3286, 1923, Mar, Philippines, PHL
25.9269, 1923, Apr, Philippines, PHL
25.8223, 1923, May, Philippines, PHL
25.3135, 1923, Jun, Philippines, PHL
25.2323, 1923, Jul, Philippines, PHL
24.8932, 1923, Aug, Philippines, PHL
25.0806, 1923, Sep, Philippines, PHL
24.9443, 1923, Oct, Philippines, PHL
24.6962, 1923, Nov, Philippines, PHL
24.556, 1923, Dec, Philippines, PHL
24.2822, 1924, Jan, Philippines, PHL
24.5662, 1924, Feb, Philippines, PHL
24.9802, 1924, Mar, Philippines, PHL
26.4716, 1924, Apr, Philippines, PHL
26.9174, 1924, May, Philippines, PHL
25.865, 1924, Jun, Philippines, PHL
25.2378, 1924, Jul, Philippines, PHL
25.4421, 1924, Aug, Philippines, PHL
25.4525, 1924, Sep, Philippines, PHL
25.3371, 1924, Oct, Philippines, PHL
24.3879, 1924, Nov, Philippines, PHL
23.7345, 1924, Dec, Philippines, PHL
24.7429, 1925, Jan, Philippines, PHL
23.8247, 1925, Feb, Philippines, PHL
24.9839, 1925, Mar, Philippines, PHL
25.7924, 1925, Apr, Philippines, PHL
26.2371, 1925, May, Philippines, PHL
25.4808, 1925, Jun, Philippines, PHL
25.245, 1925, Jul, Philippines, PHL
25.5215, 1925, Aug, Philippines, PHL
25.2197, 1925, Sep, Philippines, PHL
24.7212, 1925, Oct, Philippines, PHL
24.728, 1925, Nov, Philippines, PHL
23.6739, 1925, Dec, Philippines, PHL
23.6652, 1926, Jan, Philippines, PHL
24.4, 1926, Feb, Philippines, PHL
24.9806, 1926, Mar, Philippines, PHL
26.5169, 1926, Apr, Philippines, PHL
26.9595, 1926, May, Philippines, PHL
25.9206, 1926, Jun, Philippines, PHL
25.3879, 1926, Jul, Philippines, PHL
25.3174, 1926, Aug, Philippines, PHL
25.3288, 1926, Sep, Philippines, PHL
25.2125, 1926, Oct, Philippines, PHL
24.8227, 1926, Nov, Philippines, PHL
24.0928, 1926, Dec, Philippines, PHL
23.9887, 1927, Jan, Philippines, PHL
24.6403, 1927, Feb, Philippines, PHL
25.4578, 1927, Mar, Philippines, PHL
26.2825, 1927, Apr, Philippines, PHL
26.598, 1927, May, Philippines, PHL
25.9383, 1927, Jun, Philippines, PHL
25.3284, 1927, Jul, Philippines, PHL
25.2112, 1927, Aug, Philippines, PHL
25.8276, 1927, Sep, Philippines, PHL
25.1158, 1927, Oct, Philippines, PHL
25.0027, 1927, Nov, Philippines, PHL
24.9013, 1927, Dec, Philippines, PHL
24.9746, 1928, Jan, Philippines, PHL
24.5496, 1928, Feb, Philippines, PHL
25.6253, 1928, Mar, Philippines, PHL
26.16, 1928, Apr, Philippines, PHL
26.6815, 1928, May, Philippines, PHL
25.7076, 1928, Jun, Philippines, PHL
25.5097, 1928, Jul, Philippines, PHL
26.0654, 1928, Aug, Philippines, PHL
25.3444, 1928, Sep, Philippines, PHL
25.112, 1928, Oct, Philippines, PHL
25.1162, 1928, Nov, Philippines, PHL
24.5958, 1928, Dec, Philippines, PHL
23.5783, 1929, Jan, Philippines, PHL
24.2974, 1929, Feb, Philippines, PHL
24.5574, 1929, Mar, Philippines, PHL
25.8036, 1929, Apr, Philippines, PHL
26.4631, 1929, May, Philippines, PHL
26.3389, 1929, Jun, Philippines, PHL
24.8888, 1929, Jul, Philippines, PHL
24.8898, 1929, Aug, Philippines, PHL
25.3464, 1929, Sep, Philippines, PHL
24.9466, 1929, Oct, Philippines, PHL
24.5339, 1929, Nov, Philippines, PHL
24.3923, 1929, Dec, Philippines, PHL
24.4422, 1930, Jan, Philippines, PHL
23.9822, 1930, Feb, Philippines, PHL
25.33, 1930, Mar, Philippines, PHL
26.3093, 1930, Apr, Philippines, PHL
26.2422, 1930, May, Philippines, PHL
25.9661, 1930, Jun, Philippines, PHL
25.6683, 1930, Jul, Philippines, PHL
25.4909, 1930, Aug, Philippines, PHL
25.8543, 1930, Sep, Philippines, PHL
26.0082, 1930, Oct, Philippines, PHL
25.3385, 1930, Nov, Philippines, PHL
24.8708, 1930, Dec, Philippines, PHL
25.0173, 1931, Jan, Philippines, PHL
25.2533, 1931, Feb, Philippines, PHL
26.0384, 1931, Mar, Philippines, PHL
26.9229, 1931, Apr, Philippines, PHL
27.4178, 1931, May, Philippines, PHL
26.8802, 1931, Jun, Philippines, PHL
26.0866, 1931, Jul, Philippines, PHL
25.6028, 1931, Aug, Philippines, PHL
25.6464, 1931, Sep, Philippines, PHL
25.4148, 1931, Oct, Philippines, PHL
25.1147, 1931, Nov, Philippines, PHL
24.6107, 1931, Dec, Philippines, PHL
23.5658, 1932, Jan, Philippines, PHL
23.8567, 1932, Feb, Philippines, PHL
24.77, 1932, Mar, Philippines, PHL
26.4711, 1932, Apr, Philippines, PHL
26.6656, 1932, May, Philippines, PHL
26.2306, 1932, Jun, Philippines, PHL
25.3158, 1932, Jul, Philippines, PHL
25.8385, 1932, Aug, Philippines, PHL
25.4193, 1932, Sep, Philippines, PHL
25.5384, 1932, Oct, Philippines, PHL
25.032, 1932, Nov, Philippines, PHL
24.5803, 1932, Dec, Philippines, PHL
24.3956, 1933, Jan, Philippines, PHL
24.8935, 1933, Feb, Philippines, PHL
25.3433, 1933, Mar, Philippines, PHL
26.7199, 1933, Apr, Philippines, PHL
27.2357, 1933, May, Philippines, PHL
26.1544, 1933, Jun, Philippines, PHL
25.5083, 1933, Jul, Philippines, PHL
25.7579, 1933, Aug, Philippines, PHL
25.5697, 1933, Sep, Philippines, PHL
25.0622, 1933, Oct, Philippines, PHL
24.8071, 1933, Nov, Philippines, PHL
24.3074, 1933, Dec, Philippines, PHL
24.1331, 1934, Jan, Philippines, PHL
23.5293, 1934, Feb, Philippines, PHL
24.8306, 1934, Mar, Philippines, PHL
25.8789, 1934, Apr, Philippines, PHL
25.8173, 1934, May, Philippines, PHL
26.1279, 1934, Jun, Philippines, PHL
25.5391, 1934, Jul, Philippines, PHL
25.3851, 1934, Aug, Philippines, PHL
25.1167, 1934, Sep, Philippines, PHL
25.3409, 1934, Oct, Philippines, PHL
25.1493, 1934, Nov, Philippines, PHL
24.3371, 1934, Dec, Philippines, PHL
23.8822, 1935, Jan, Philippines, PHL
24.6135, 1935, Feb, Philippines, PHL
25.6046, 1935, Mar, Philippines, PHL
26.444, 1935, Apr, Philippines, PHL
26.2273, 1935, May, Philippines, PHL
26.2546, 1935, Jun, Philippines, PHL
25.4814, 1935, Jul, Philippines, PHL
25.8674, 1935, Aug, Philippines, PHL
25.185, 1935, Sep, Philippines, PHL
25.7265, 1935, Oct, Philippines, PHL
25.0738, 1935, Nov, Philippines, PHL
24.4475, 1935, Dec, Philippines, PHL
24.2994, 1936, Jan, Philippines, PHL
24.9627, 1936, Feb, Philippines, PHL
25.1237, 1936, Mar, Philippines, PHL
26.2851, 1936, Apr, Philippines, PHL
26.938, 1936, May, Philippines, PHL
26.2097, 1936, Jun, Philippines, PHL
25.4994, 1936, Jul, Philippines, PHL
25.2428, 1936, Aug, Philippines, PHL
25.3367, 1936, Sep, Philippines, PHL
25.4996, 1936, Oct, Philippines, PHL
24.9183, 1936, Nov, Philippines, PHL
25.4659, 1936, Dec, Philippines, PHL
25.1155, 1937, Jan, Philippines, PHL
24.9407, 1937, Feb, Philippines, PHL
25.7834, 1937, Mar, Philippines, PHL
26.6227, 1937, Apr, Philippines, PHL
26.6374, 1937, May, Philippines, PHL
26.5511, 1937, Jun, Philippines, PHL
25.4335, 1937, Jul, Philippines, PHL
25.4676, 1937, Aug, Philippines, PHL
25.4288, 1937, Sep, Philippines, PHL
24.9562, 1937, Oct, Philippines, PHL
25.1766, 1937, Nov, Philippines, PHL
25.0976, 1937, Dec, Philippines, PHL
24.5002, 1938, Jan, Philippines, PHL
24.4592, 1938, Feb, Philippines, PHL
25.5751, 1938, Mar, Philippines, PHL
26.1074, 1938, Apr, Philippines, PHL
26.2265, 1938, May, Philippines, PHL
25.8048, 1938, Jun, Philippines, PHL
25.6053, 1938, Jul, Philippines, PHL
26.2629, 1938, Aug, Philippines, PHL
25.8566, 1938, Sep, Philippines, PHL
25.3098, 1938, Oct, Philippines, PHL
24.8425, 1938, Nov, Philippines, PHL
24.8011, 1938, Dec, Philippines, PHL
24.3134, 1939, Jan, Philippines, PHL
24.0622, 1939, Feb, Philippines, PHL
25.3375, 1939, Mar, Philippines, PHL
26.302, 1939, Apr, Philippines, PHL
26.0134, 1939, May, Philippines, PHL
26.1928, 1939, Jun, Philippines, PHL
25.8994, 1939, Jul, Philippines, PHL
25.8902, 1939, Aug, Philippines, PHL
25.7463, 1939, Sep, Philippines, PHL
25.6916, 1939, Oct, Philippines, PHL
25.4514, 1939, Nov, Philippines, PHL
23.8227, 1939, Dec, Philippines, PHL
23.914, 1940, Jan, Philippines, PHL
23.7802, 1940, Feb, Philippines, PHL
25.2683, 1940, Mar, Philippines, PHL
26.4218, 1940, Apr, Philippines, PHL
27.0893, 1940, May, Philippines, PHL
26.4349, 1940, Jun, Philippines, PHL
25.6351, 1940, Jul, Philippines, PHL
25.3704, 1940, Aug, Philippines, PHL
25.5847, 1940, Sep, Philippines, PHL
25.6812, 1940, Oct, Philippines, PHL
25.4573, 1940, Nov, Philippines, PHL
24.6373, 1940, Dec, Philippines, PHL
24.7651, 1941, Jan, Philippines, PHL
24.5328, 1941, Feb, Philippines, PHL
25.1618, 1941, Mar, Philippines, PHL
25.8644, 1941, Apr, Philippines, PHL
26.673, 1941, May, Philippines, PHL
26.1524, 1941, Jun, Philippines, PHL
25.6037, 1941, Jul, Philippines, PHL
26.0019, 1941, Aug, Philippines, PHL
25.4457, 1941, Sep, Philippines, PHL
25.5741, 1941, Oct, Philippines, PHL
25.1263, 1941, Nov, Philippines, PHL
24.9148, 1941, Dec, Philippines, PHL
23.927, 1942, Jan, Philippines, PHL
24.889, 1942, Feb, Philippines, PHL
26.0652, 1942, Mar, Philippines, PHL
26.2012, 1942, Apr, Philippines, PHL
26.4298, 1942, May, Philippines, PHL
26.0967, 1942, Jun, Philippines, PHL
25.2219, 1942, Jul, Philippines, PHL
25.4364, 1942, Aug, Philippines, PHL
25.0899, 1942, Sep, Philippines, PHL
25.3827, 1942, Oct, Philippines, PHL
24.7781, 1942, Nov, Philippines, PHL
24.1222, 1942, Dec, Philippines, PHL
23.4981, 1943, Jan, Philippines, PHL
23.9209, 1943, Feb, Philippines, PHL
25.1848, 1943, Mar, Philippines, PHL
25.2835, 1943, Apr, Philippines, PHL
26.2411, 1943, May, Philippines, PHL
25.301, 1943, Jun, Philippines, PHL
25.1419, 1943, Jul, Philippines, PHL
24.9605, 1943, Aug, Philippines, PHL
25.5112, 1943, Sep, Philippines, PHL
24.9407, 1943, Oct, Philippines, PHL
24.9215, 1943, Nov, Philippines, PHL
24.4281, 1943, Dec, Philippines, PHL
24.6913, 1944, Jan, Philippines, PHL
24.1637, 1944, Feb, Philippines, PHL
24.3642, 1944, Mar, Philippines, PHL
26.0116, 1944, Apr, Philippines, PHL
26.611, 1944, May, Philippines, PHL
25.8361, 1944, Jun, Philippines, PHL
25.3439, 1944, Jul, Philippines, PHL
25.3549, 1944, Aug, Philippines, PHL
25.7009, 1944, Sep, Philippines, PHL
25.6806, 1944, Oct, Philippines, PHL
25.6309, 1944, Nov, Philippines, PHL
24.2654, 1944, Dec, Philippines, PHL
24.0534, 1945, Jan, Philippines, PHL
23.7443, 1945, Feb, Philippines, PHL
25.064, 1945, Mar, Philippines, PHL
25.9314, 1945, Apr, Philippines, PHL
25.9153, 1945, May, Philippines, PHL
25.9735, 1945, Jun, Philippines, PHL
25.6069, 1945, Jul, Philippines, PHL
25.2487, 1945, Aug, Philippines, PHL
25.6382, 1945, Sep, Philippines, PHL
24.8106, 1945, Oct, Philippines, PHL
25.4221, 1945, Nov, Philippines, PHL
24.7137, 1945, Dec, Philippines, PHL
24.759, 1946, Jan, Philippines, PHL
24.4468, 1946, Feb, Philippines, PHL
25.9657, 1946, Mar, Philippines, PHL
26.3482, 1946, Apr, Philippines, PHL
26.8823, 1946, May, Philippines, PHL
26.039, 1946, Jun, Philippines, PHL
25.9827, 1946, Jul, Philippines, PHL
25.7388, 1946, Aug, Philippines, PHL
25.5685, 1946, Sep, Philippines, PHL
25.6563, 1946, Oct, Philippines, PHL
25.9307, 1946, Nov, Philippines, PHL
25.9087, 1946, Dec, Philippines, PHL
25.5498, 1947, Jan, Philippines, PHL
24.7372, 1947, Feb, Philippines, PHL
25.8199, 1947, Mar, Philippines, PHL
26.9516, 1947, Apr, Philippines, PHL
26.9595, 1947, May, Philippines, PHL
26.684, 1947, Jun, Philippines, PHL
26.3004, 1947, Jul, Philippines, PHL
26.0454, 1947, Aug, Philippines, PHL
26.2521, 1947, Sep, Philippines, PHL
25.8377, 1947, Oct, Philippines, PHL
25.0082, 1947, Nov, Philippines, PHL
25.1411, 1947, Dec, Philippines, PHL
24.1996, 1948, Jan, Philippines, PHL
25.0034, 1948, Feb, Philippines, PHL
25.261, 1948, Mar, Philippines, PHL
26.8741, 1948, Apr, Philippines, PHL
27.1869, 1948, May, Philippines, PHL
26.7072, 1948, Jun, Philippines, PHL
25.8577, 1948, Jul, Philippines, PHL
25.8478, 1948, Aug, Philippines, PHL
25.3659, 1948, Sep, Philippines, PHL
25.4889, 1948, Oct, Philippines, PHL
24.36, 1948, Nov, Philippines, PHL
24.9636, 1948, Dec, Philippines, PHL
23.4669, 1949, Jan, Philippines, PHL
24.3461, 1949, Feb, Philippines, PHL
24.7131, 1949, Mar, Philippines, PHL
25.7407, 1949, Apr, Philippines, PHL
26.4941, 1949, May, Philippines, PHL
26.1063, 1949, Jun, Philippines, PHL
25.6883, 1949, Jul, Philippines, PHL
25.7109, 1949, Aug, Philippines, PHL
25.5567, 1949, Sep, Philippines, PHL
25.3278, 1949, Oct, Philippines, PHL
24.776, 1949, Nov, Philippines, PHL
24.7689, 1949, Dec, Philippines, PHL
24.5066, 1950, Jan, Philippines, PHL
24.4052, 1950, Feb, Philippines, PHL
24.9766, 1950, Mar, Philippines, PHL
26.032, 1950, Apr, Philippines, PHL
26.4212, 1950, May, Philippines, PHL
26.025, 1950, Jun, Philippines, PHL
25.6537, 1950, Jul, Philippines, PHL
25.7196, 1950, Aug, Philippines, PHL
25.5294, 1950, Sep, Philippines, PHL
25.1808, 1950, Oct, Philippines, PHL
24.7977, 1950, Nov, Philippines, PHL
23.6967, 1950, Dec, Philippines, PHL
24.3881, 1951, Jan, Philippines, PHL
24.4172, 1951, Feb, Philippines, PHL
25.0077, 1951, Mar, Philippines, PHL
26.3301, 1951, Apr, Philippines, PHL
26.049, 1951, May, Philippines, PHL
25.7932, 1951, Jun, Philippines, PHL
25.6914, 1951, Jul, Philippines, PHL
25.7105, 1951, Aug, Philippines, PHL
25.6736, 1951, Sep, Philippines, PHL
25.8776, 1951, Oct, Philippines, PHL
25.3425, 1951, Nov, Philippines, PHL
24.788, 1951, Dec, Philippines, PHL
24.563, 1952, Jan, Philippines, PHL
24.8293, 1952, Feb, Philippines, PHL
25.4046, 1952, Mar, Philippines, PHL
26.2571, 1952, Apr, Philippines, PHL
26.8541, 1952, May, Philippines, PHL
26.1227, 1952, Jun, Philippines, PHL
25.8861, 1952, Jul, Philippines, PHL
25.2257, 1952, Aug, Philippines, PHL
25.3571, 1952, Sep, Philippines, PHL
25.5623, 1952, Oct, Philippines, PHL
25.2382, 1952, Nov, Philippines, PHL
24.5825, 1952, Dec, Philippines, PHL
24.0135, 1953, Jan, Philippines, PHL
24.484, 1953, Feb, Philippines, PHL
25.4991, 1953, Mar, Philippines, PHL
26.2741, 1953, Apr, Philippines, PHL
26.6, 1953, May, Philippines, PHL
26.0019, 1953, Jun, Philippines, PHL
25.6382, 1953, Jul, Philippines, PHL
25.6026, 1953, Aug, Philippines, PHL
25.6854, 1953, Sep, Philippines, PHL
25.7996, 1953, Oct, Philippines, PHL
25.3442, 1953, Nov, Philippines, PHL
24.6393, 1953, Dec, Philippines, PHL
24.711, 1954, Jan, Philippines, PHL
24.8304, 1954, Feb, Philippines, PHL
24.9953, 1954, Mar, Philippines, PHL
26.3637, 1954, Apr, Philippines, PHL
26.5849, 1954, May, Philippines, PHL
26.2179, 1954, Jun, Philippines, PHL
